Order,ID,ComparisonStim,StandardPos,DurationFixCrossSecs,Repetition,Response,BrightnessJudgement
389,3,0.475,right,1.864273219966,42,,brighter
390,8,0.5375,right,0.998165086632557,45,,brighter
391,3,0.475,right,1.30468911860225,43,,darker
392,6,0.5125,left,1.51103508271344,43,,darker
393,3,0.475,right,1.49727979937817,44,,darker
394,2,0.4625,left,1.25890198215646,47,,darker
395,5,0.5,right,1.16761981672905,45,,brighter
396,6,0.5125,right,1.96651187908534,44,,brighter
397,4,0.4875,left,1.17876023121927,41,,darker
398,6,0.5125,right,0.881041964715166,45,,brighter
399,6,0.5125,right,1.51221989939107,46,,brighter
400,2,0.4625,right,0.562916411525493,48,,darker
401,6,0.5125,right,1.92717331147383,47,,brighter
402,1,0.45,right,1.82876055227884,42,,darker
403,4,0.4875,right,1.11517534847256,42,,darker
404,1,0.45,right,1.61857981116652,43,,darker
405,4,0.4875,left,1.0959860029513,43,,darker
406,3,0.475,left,0.521371682048412,45,,darker
407,4,0.4875,right,1.15282041350072,44,,darker
408,8,0.5375,left,1.34231370631977,46,,brighter
409,9,0.55,left,0.514388292561394,49,,brighter
410,1,0.45,right,1.85341417245079,44,,darker
411,4,0.4875,left,0.735553460412878,45,,darker
412,2,0.4625,left,1.87724957946059,49,,darker
413,1,0.45,left,0.574184922254172,45,,darker
414,6,0.5125,right,1.1458117685737,48,,darker
415,1,0.45,right,1.44513459130103,46,,darker
416,7,0.525,left,1.15648256167099,43,,darker
417,6,0.5125,right,1.28235211317422,49,,brighter
418,5,0.5,right,0.707148917361023,46,,darker
419,3,0.475,right,1.00052430683713,46,,darker
420,5,0.5,right,0.862779115341258,47,,brighter
421,9,0.55,right,1.15891699223592,50,,brighter
422,7,0.525,left,1.87960709500903,44,,brighter
423,8,0.5375,right,0.883923926266377,47,,brighter
424,1,0.45,right,1.99008306245048,47,,darker
425,5,0.5,right,0.983765843351733,48,,darker
426,6,0.5125,right,0.936344092707224,50,,brighter
427,4,0.4875,right,0.970161021065787,46,,darker
428,7,0.525,right,0.725534189805408,45,,brighter
429,7,0.525,left,1.73042285452629,46,,brighter
430,8,0.5375,left,1.90990864182081,48,,brighter
431,5,0.5,right,1.21744942144846,49,,brighter
432,4,0.4875,right,1.91301806900711,47,,brighter
433,8,0.5375,left,1.07347860945404,49,,brighter
434,5,0.5,left,1.64475951158624,50,,brighter
435,7,0.525,right,0.548031928053773,47,,brighter
436,3,0.475,right,1.5256044974831,47,,darker
437,1,0.45,right,1.20689793490388,48,,darker
438,4,0.4875,right,1.77409465797575,48,,darker
439,4,0.4875,left,0.56138293565515,49,,darker
440,3,0.475,right,1.1491357029216,48,,darker
441,1,0.45,right,0.666947015869002,49,,darker
442,7,0.525,right,0.96019446657941,48,,brighter
443,7,0.525,right,1.11736908940889,49,,brighter
444,8,0.5375,left,0.779597320967077,50,,brighter
445,2,0.4625,right,1.84285286415531,50,,darker
446,1,0.45,right,1.10317933130759,50,,darker
447,3,0.475,right,0.886093899392494,49,,darker
448,7,0.525,left,1.9730808892583,50,,brighter
449,4,0.4875,left,1.57709140572903,50,,brighter
450,3,0.475,left,1.25483260018619,50,,darker
